idx,char_pos,cmdVx,cmdVy,cmdVw,ts
214,50117,0.35,0.0,0.0,2026-05-06 15:22:03.119
215,50340,0.35,0.0,0.0,2026-05-06 15:22:03.119
216,50580,0.35,0.0,0.0,2026-05-06 15:22:03.119
217,50806,0.35,0.0,0.0,2026-05-06 15:22:03.119
218,51046,0.35,0.0,0.0,2026-05-06 15:22:03.119
219,51269,0.35,0.0,0.0,2026-05-06 15:22:03.119
220,51508,0.35,0.0,0.0,2026-05-06 15:22:03.119
221,51731,0.35,0.0,0.0,2026-05-06 15:22:03.119
222,51972,0.35,0.0,0.0,2026-05-06 15:22:03.119
223,52195,0.35,0.0,0.0,2026-05-06 15:22:03.119
224,52435,0.35,0.0,0.0,2026-05-06 15:22:03.119
225,52658,0.35,0.0,0.0,2026-05-06 15:22:03.119
226,52898,0.35,0.0,0.0,2026-05-06 15:22:03.119
227,53121,0.35,0.0,0.0,2026-05-06 15:22:03.119
228,53361,0.35,0.0,0.0,2026-05-06 15:22:03.119
229,53584,0.35,0.0,0.0,2026-05-06 15:22:03.119
230,53824,0.35,0.0,0.0,2026-05-06 15:22:03.119
231,54047,0.35,0.0,0.0,2026-05-06 15:22:03.119
232,54300,0.35,0.0,0.0,2026-05-06 15:22:03.824
233,54523,0.35,0.0,0.0,2026-05-06 15:22:03.824
234,54763,0.35,0.0,0.0,2026-05-06 15:22:03.824
235,54986,0.35,0.0,0.0,2026-05-06 15:22:03.824
236,55284,0.35,0.0,0.0,2026-05-06 15:22:03.824
237,55507,0.35,0.0,0.0,2026-05-06 15:22:03.824
238,55689,0.35,0.0,0.0,2026-05-06 15:22:03.824
239,55912,0.35,0.0,0.0,2026-05-06 15:22:03.824
240,56152,0.35,0.0,0.0,2026-05-06 15:22:03.824
241,56375,0.35,0.0,0.0,2026-05-06 15:22:03.824
242,56615,0.35,0.0,0.0,2026-05-06 15:22:03.824
243,56838,0.35,0.0,0.0,2026-05-06 15:22:03.824
244,57078,0.35,0.0,0.0,2026-05-06 15:22:03.824
245,57301,0.35,0.0,0.0,2026-05-06 15:22:03.824
246,57541,0.35,0.0,0.0,2026-05-06 15:22:03.824
